Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
45	-7.8362103	1.264104	-6.0631795	-9.562455	1000.0	-1.0514843	0.7734067	4.6384625	-1.8725243	184000	-1.9073487e-09	0.5226677	-0.014643856	-0.08690798	0.6251144	0.006882374	0.0925	79.0	433.9976980686188
46	-4.755152	6.409365	3.0415542	-11.843038	1000.0	-0.74065727	0.91980284	4.962607	-1.6794554	188000	4.529953e-09	1.0274222	-0.015680172	-0.13002998	0.6200919	0.0077459053	0.133	79.0	443.1598699092865
47	-3.4129744	2.3582056	-0.18633999	-6.578413	1000.0	-0.40688518	0.98123324	4.925676	-1.5447986	192000	1.26361845e-08	1.3694751	-0.0066238446	-0.18567312	0.6171364	0.015917793	0.20675	4.0	451.26123881340027
48	5.8869185	10.028723	19.859144	-3.649405	1000.0	0.09579211	1.3131748	6.674861	-1.3406967	196000	3.027916e-08	1.4163697	-0.01597234	-0.26800346	0.6164337	0.0053946255	0.10875	79.0	461.0210292339325
49	13.3350115	7.8518124	24.105936	4.3160696	1000.0	0.779925	1.4769024	6.934861	-1.1350899	200000	-3.4570693e-08	2.9368243	-0.020538231	-0.6117871	0.59773314	0.011256758	0.169	79.0	470.09267807006836
50	27.699429	14.790386	51.163345	10.279659	1000.0	1.9120928	1.6229172	8.596094	-1.1452008	204000	3.1590461e-09	4.371627	-0.016315194	-1.229598	0.5807832	0.0066160993	0.12725	79.0	479.5308816432953
51	39.15035	12.509167	53.82277	21.502949	1000.0	3.2796328	2.0974503	9.122071	-19.262705	208000	3.004074e-08	4.251903	-0.018056886	-0.9928379	0.57117254	0.009718195	0.1325	79.0	489.4792628288269
52	39.28147	10.759515	52.247753	23.619003	1000.0	4.1264505	1.9252354	10.19735	-0.7890117	212000	6.7353247e-09	2.9906094	-0.020371716	-0.27872586	0.56223613	0.011239681	0.15025	79.0	499.04425287246704
53	56.201	10.577288	71.451675	44.75663	1000.0	4.9996357	1.9284999	11.638941	0.3752588	216000	-7.1525574e-10	3.387364	-0.004828642	-0.7206521	0.5410665	0.018751664	0.2015	4.0	506.60737109184265
54	65.480225	6.855806	73.76798	55.214016	1000.0	6.0683994	2.0542686	13.758667	0.6412585	220000	-1.1444092e-08	3.4645	-0.003847089	-0.5720835	0.540805	0.01897496	0.26375	3.0	514.3522937297821
55	68.50351	9.336303	80.63621	56.830616	1000.0	7.096347	2.4884892	13.700008	-7.4564996	224000	-1.847744e-08	5.128391	0.00019909287	-1.091177	0.5404459	0.015038863	0.2085	4.0	522.1643486022949
56	91.330376	8.170995	101.64364	80.33633	1000.0	7.954606	1.8993622	14.600054	1.0419099	228000	1.1920929e-08	5.592226	-0.017353287	-3.9273658	0.5401177	0.006615747	0.127	79.0	531.5244591236115
57	49.25114	76.35683	100.38699	-82.73802	839.25	9.211474	5.3536825	15.080118	-48.996445	232000	1.001358e-08	98.2776	-0.010767724	-26.367043	0.5233787	0.0153885875	0.172	27.0	539.7343447208405
58	6.7463484	89.20825	91.42246	-126.83918	726.4	5.97395	9.216013	32.61184	-52.702736	236000	4.768372e-10	243.31845	-0.008415774	-55.40181	0.5226891	0.018039217	0.2435	4.0	548.0835058689117
59	-15.221302	84.960686	96.39357	-105.8278	587.8333	2.7076495	12.921586	9.498036	-55.666416	240000	-2.4199485e-08	261.2964	-0.0028578665	-65.28706	0.52282274	0.017437298	0.2035	4.0	555.5654485225677
60	43.482994	91.38969	101.93798	-114.59957	767.75	5.6988697	3.76764	15.229281	-55.793133	244000	9.894371e-09	135.16469	-0.007936198	-32.164116	0.52312887	0.016118329	0.25125	7.0	563.3226528167725
61	44.890114	83.88002	105.854	-99.56284	780.75	7.953119	5.980288	18.785486	-56.126595	248000	4.053116e-09	71.877495	-0.016252842	-39.441483	0.52297163	0.0074967556	0.12525	79.0	572.8037257194519
62	68.5996	48.96923	101.95789	-15.974198	996.25	8.400798	4.129338	16.504444	-40.429626	252000	-1.4066696e-08	154.33633	-0.017326867	-38.421005	0.5152516	0.011380618	0.187	79.0	582.1299777030945
63	56.37229	71.53035	105.79896	-67.21082	850.75	7.5587845	6.525635	12.863335	-52.78697	256000	-3.0994416e-09	88.27849	-0.017266374	-18.021126	0.5009997	0.011310862	0.142	79.0	591.4153728485107
64	94.922226	8.310218	100.99094	80.70629	1000.0	8.372833	2.4307683	11.62066	-27.77906	260000	1.2397766e-08	11.135569	-0.015265251	-7.7458067	0.50256056	0.011134089	0.116	79.0	600.7043404579163
65	101.16849	4.659605	107.652176	95.93375	1000.0	10.001788	1.1295651	13.102367	2.9567595	264000	1.502037e-08	2.4755974	-0.014964359	-0.6794332	0.5010736	0.009900982	0.11125	79.0	609.9839582443237
66	102.290474	3.111609	104.226135	96.903114	1000.0	10.484385	1.3758271	15.732366	3.5783653	268000	1.7642975e-08	2.34336	-0.017575916	-0.17072463	0.50217384	0.013120999	0.13125	79.0	619.4581305980682
67	75.870995	48.084206	110.681984	-6.6031284	976.0	10.551109	1.674724	14.852275	-13.118445	272000	1.4305115e-09	153.52823	-0.0052463287	-58.15258	0.497604	0.017393703	0.22475	5.0	626.3731000423431
