Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
34	-66.250084	2.8190064	-63.1814	-70.68225	-66.72452	2.5300503	-63.661205	-72.77984	1000.0	1000.0	135999	-8.897278	11.511433	5.024046	-124.79162	-8.897205	11.512272	5.2486305	-123.92392	8.64777	0.87593603	2547.8635201454163
35	-80.9837	6.0158043	-70.93133	-86.78714	-84.163246	2.8046303	-75.85295	-86.02473	1000.0	1000.0	139999	-8.69889	11.204863	4.717202	-129.36871	-8.698912	11.204118	6.516813	-124.98613	8.478368	0.8350865	2624.566952943802
36	-73.0037	8.045255	-64.73083	-85.718704	-71.22453	1.8612607	-68.085785	-74.317444	1000.0	1000.0	143999	-8.510523	10.690909	6.361328	-130.33745	-8.510527	10.691826	9.058164	-122.12897	8.322543	0.7576914	2698.9529094696045
37	-67.603836	2.218004	-63.823475	-69.5086	-82.30476	1.5955005	-80.35903	-85.60231	1000.0	1000.0	147999	-8.319434	10.478853	11.988201	-118.124916	-8.319502	10.479671	10.791192	-122.60696	8.1037445	0.69107836	2771.665765285492
38	-62.298615	3.6872342	-56.740868	-66.63093	-74.62819	1.7907085	-71.54801	-77.653595	1000.0	1000.0	151999	-8.043951	10.625685	17.138391	-132.37683	-8.043732	10.626522	19.955114	-135.25652	7.8530383	0.72900355	2847.1196615695953
39	-73.74035	5.8266215	-65.39098	-80.0648	-65.28478	1.8471084	-62.00563	-68.00058	1000.0	1000.0	155999	-7.8228464	10.923682	28.503824	-131.47635	-7.822591	10.92202	27.945965	-128.91344	7.6100116	0.7606355	2922.4692718982697
40	-64.52439	2.6917255	-60.6692	-67.65597	-59.517265	20.120977	-27.614256	-82.278076	1000.0	1000.0	159999	-7.672782	10.94539	37.00348	-136.10849	-7.6728806	10.943204	38.037415	-138.6981	7.462858	0.7023098	2995.6413362026215
41	-59.06159	7.7442484	-51.66624	-72.063225	-74.412895	2.4763672	-71.11301	-80.16332	1000.0	1000.0	163999	-7.328797	11.344761	50.477882	-129.47733	-7.328888	11.3446045	55.064	-133.09048	7.0733624	0.72496605	3068.546535730362
42	-84.53271	22.787672	-60.533634	-127.84335	-92.41482	1.2225244	-90.254295	-94.67634	814.4	1000.0	167999	-6.959947	12.240425	58.603474	-164.54747	-6.9597673	12.239634	61.026478	-170.04376	6.682181	0.9402344	3141.498574256897
43	-87.37961	8.112278	-76.05543	-98.45011	-90.40109	6.129018	-87.75284	-108.75069	1000.0	1000.0	171999	-6.764659	12.90842	54.58993	-170.74318	-6.764276	12.907986	51.35657	-173.6452	6.451674	1.0573561	3215.401772260666
44	-102.93863	6.994053	-92.25921	-111.84471	-92.63971	5.2407055	-89.51984	-108.2318	1000.0	1000.0	175999	-5.9403806	14.149481	48.304783	-120.192245	-5.9401665	14.150422	50.332348	-135.38087	5.630341	1.1658679	3290.4539177417755
45	-85.695885	11.817798	-75.279755	-104.736855	-95.05357	4.7398014	-87.62618	-101.79276	1000.0	1000.0	179999	-4.781214	14.851035	47.357758	-122.455154	-4.7811723	14.853045	51.634964	-118.57965	4.3826447	1.3062207	3366.2520728111267
46	-97.06322	8.328127	-83.33748	-105.325424	-111.10929	0.24374343	-110.85467	-111.43383	1000.0	1000.0	183999	-3.349186	15.493841	47.38173	-137.18462	-3.3497474	15.493792	52.718746	-139.26677	2.7773247	1.3232604	3439.2209508419037
47	-101.2091	5.670442	-91.71384	-105.75961	-79.13269	0.9019199	-77.51181	-80.786964	1000.0	1000.0	187999	-1.0695709	15.170753	42.41127	-140.48541	-1.0702863	15.169931	43.791145	-146.01181	0.48459974	1.2142012	3515.1549344062805
48	-89.97499	39.13509	-30.182972	-152.90329	-95.755264	0.3077657	-95.12942	-96.080376	939.8	1000.0	191999	0.8177456	14.28116	36.214752	-129.6798	0.8175759	14.280576	37.520058	-130.82562	-1.4643922	1.1330075	3586.399666786194
49	-80.8313	11.190968	-61.921024	-89.54093	-64.475845	20.516134	-31.467049	-93.07353	1000.0	1000.0	195999	2.781434	13.364829	35.859352	-127.410095	2.7815711	13.364548	37.602528	-129.67477	-3.4431958	1.229564	3660.072556257248
50	-117.98271	54.414536	-42.32602	-197.39827	-90.612656	1.0361856	-89.31936	-92.03301	702.8	1000.0	199999	4.185517	12.361487	30.722513	-124.950584	4.1854863	12.360928	31.422453	-123.018196	-4.6455293	1.2497293	3735.104255914688
51	-100.24037	6.2476816	-89.790215	-106.33132	-103.98702	6.7784495	-93.35483	-110.916306	1000.0	1000.0	203999	3.9343185	11.930977	24.67705	-125.904236	3.934444	11.931247	25.831465	-123.24838	-4.2743306	1.1857934	3809.472704410553
52	-95.64988	4.2514424	-90.842415	-99.980995	-104.81028	6.0936165	-92.86763	-108.774216	1000.0	1000.0	207999	2.7685857	11.537506	20.433134	-132.66086	2.7685766	11.540248	22.169476	-128.27892	-3.0250058	1.163604	3883.352024793625
53	-105.57306	2.4212646	-101.87264	-108.570404	-107.040794	5.228676	-99.10522	-111.132515	1000.0	1000.0	211999	1.4593189	11.353383	17.422585	-129.96042	1.459537	11.354878	20.008558	-124.23247	-1.6756018	1.2689258	3958.847555875778
54	-77.76895	14.094732	-54.901363	-92.94624	-96.381805	12.664554	-66.979004	-108.743546	1000.0	1000.0	215999	0.38271132	10.884076	16.31856	-126.72435	0.38272536	10.887811	19.25057	-128.69269	-0.6060447	1.1998475	4031.410619497299
55	-95.01503	6.4677496	-86.95266	-105.00416	-107.63573	11.469878	-76.394646	-113.75545	1000.0	1000.0	219999	-0.5655549	10.629597	13.102333	-131.15755	-0.5654908	10.629684	15.115192	-134.35027	0.3210456	1.1893982	4103.463581323624
56	-79.60433	12.51137	-59.80236	-94.4791	-90.98578	5.560719	-87.15247	-106.130104	1000.0	1000.0	223999	-1.3791163	10.3354645	22.436085	-126.672554	-1.3791456	10.334617	22.375298	-128.02536	1.0886686	1.2183638	4176.4203951358795
57	-93.18515	4.2220407	-86.71546	-97.501816	-98.00443	6.5804467	-86.938995	-105.47684	1000.0	1000.0	227999	-1.2987319	10.547287	35.62139	-131.32944	-1.2992287	10.546777	36.645184	-124.28443	0.75019646	1.4333794	4237.768041610718
58	-93.60717	3.225781	-91.15805	-99.08522	-93.63261	4.6846976	-87.39734	-99.78895	1000.0	1000.0	231999	0.9500368	11.314476	40.617386	-124.52192	0.9489969	11.314511	41.553207	-129.38562	-1.7525115	1.6993021	4283.621850967407
59	-90.27817	3.077589	-86.77359	-95.21449	-126.37868	2.1688638	-123.959854	-129.95064	1000.0	96.7	235999	3.7572515	12.291594	39.711136	-128.7764	3.7564752	12.292825	39.42193	-129.09749	-4.3571854	1.6189505	4320.284821033478
60	-121.1621	11.826141	-79.785706	-135.27711	-73.55493	3.1708117	-68.35848	-77.03372	168.31818	1000.0	239999	4.4717855	13.025146	36.340122	-131.37273	4.472022	13.024405	35.42659	-140.29703	-4.8701944	1.5917978	4366.077187776566
61	-79.38279	12.108904	-64.1399	-93.981384	-113.04775	0.14529598	-112.85495	-113.30692	1000.0	1000.0	243999	2.9132938	13.156609	26.385191	-145.17189	2.9138534	13.156729	27.312439	-147.3394	-3.1240027	1.6976309	4411.521151065826
62	-104.04851	3.2364452	-99.10432	-107.55222	-83.66673	2.1597695	-81.590744	-89.25276	1000.0	1000.0	247999	1.0306177	12.710352	19.910286	-148.66342	1.0311404	12.713746	20.598732	-154.07037	-1.3564957	1.749207	4457.1004910469055
63	-108.38727	5.6771755	-102.59308	-115.95243	-100.39426	15.513597	-85.240486	-136.07007	1000.0	825.6	251999	-0.67162627	12.68016	14.707965	-143.20288	-0.6721389	12.682238	15.54005	-146.64006	0.384382	1.7334957	4501.015292882919
64	-104.21333	2.4116652	-100.86715	-107.05755	-103.94414	4.3635306	-97.258575	-107.7929	1000.0	1000.0	255999	-2.1083994	12.41958	12.09739	-139.34372	-2.1087668	12.421519	12.7205105	-137.8803	1.8008028	1.6028979	4546.635739564896
65	-97.36883	4.5920453	-91.87032	-103.4574	-106.82782	1.0287783	-104.99633	-108.869484	1000.0	1000.0	259999	-3.1274652	11.936314	8.014839	-136.84991	-3.1278489	11.940389	8.534035	-138.2573	2.7573106	1.4109275	4592.196690797806
66	-100.76207	3.507061	-97.31346	-106.57811	-106.22356	0.28494677	-105.78944	-106.66097	1000.0	1000.0	263999	-4.0513644	11.989866	6.4736996	-152.91426	-4.0514083	11.992183	6.3929844	-150.36894	3.6592538	1.4045959	4637.727939367294
67	-94.94539	7.8094893	-83.421814	-103.376144	-93.85309	1.2978443	-92.29141	-96.23082	1000.0	1000.0	267999	-4.870904	11.98316	5.085651	-138.53389	-4.871116	11.985702	7.507925	-140.71657	4.4981565	1.3834099	4683.602782964706
68	-85.94383	2.8396533	-81.13765	-88.52861	-82.02988	1.2967534	-80.20375	-83.984726	1000.0	1000.0	271999	-5.466378	11.936951	4.987412	-135.97095	-5.4667583	11.938874	5.064295	-135.28317	5.0653706	1.3238242	4729.200695037842
69	-80.804306	2.408073	-78.769066	-84.80575	-79.7751	1.6610045	-76.70478	-82.24332	1000.0	1000.0	275999	-5.827133	11.704288	4.667244	-140.363	-5.8270993	11.707341	4.6147346	-137.44066	5.447693	1.3972241	4774.9982488155365
70	-74.992935	2.5326505	-71.180115	-77.79546	-80.33468	1.9207214	-78.10963	-84.49528	1000.0	1000.0	279999	-6.33511	11.775524	4.8549175	-137.16844	-6.3351936	11.7812805	3.3146691	-137.05984	5.906494	1.4411187	4820.596920013428
71	-83.44486	4.794767	-76.54407	-88.05893	-88.97891	3.8636315	-81.87893	-95.82533	1000.0	1000.0	283999	-6.828187	11.831451	3.158851	-142.45161	-6.8285995	11.841874	2.427158	-148.3275	6.430144	1.4921224	4866.454710245132
72	-85.55821	4.841531	-81.71592	-93.70466	-93.66575	1.9378673	-89.5395	-96.53417	1000.0	1000.0	287999	-7.259319	11.87607	2.0038874	-150.95438	-7.2593255	11.884349	1.8056626	-159.13663	6.8580236	1.5212014	4912.231411933899
73	-78.89199	4.748883	-70.94844	-82.85543	-77.49723	2.0173016	-73.70351	-79.87673	1000.0	1000.0	291999	-7.7878127	12.004545	1.6177521	-147.40038	-7.7877517	12.012267	1.1404471	-152.65317	7.363215	1.7211592	4957.946291923523
74	-76.799385	2.7124383	-73.982704	-81.08387	-109.479774	0.3503917	-109.057846	-110.18813	1000.0	1000.0	295999	-8.465894	12.103799	1.0147587	-146.69586	-8.465867	12.105236	0.7419026	-147.02325	7.988926	1.6834453	5003.0996680259705
