Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
38	205.21213	10.25511	231.8676	183.6407	206.78043	11.413134	232.8116	196.25859	46.390804	47.2	151999	73.848816	36.51782	160.12935	-7.659425	73.84896	36.517727	153.69803	-5.4755936	-74.26321	2.8850021	2803.513027906418
39	206.26962	11.025805	229.72534	182.9377	203.75209	16.128555	226.39076	176.5281	46.476746	46.5	155999	73.93424	36.59173	156.57414	-10.629561	73.93411	36.591473	148.58943	-11.445333	-74.34875	2.8202956	2915.421441078186
40	201.46295	11.682529	233.59929	176.20087	200.70175	9.745716	217.81175	184.35016	45.590908	46.2	159999	73.87952	36.62237	146.46193	-4.626666	73.87953	36.6225	151.44202	-9.504234	-74.27706	2.7591717	3028.203253507614
41	205.34254	10.812597	236.32927	185.68468	197.25467	10.475308	221.90018	182.17941	46.302326	45.5	163999	74.13536	36.660763	157.03867	-11.044315	74.13524	36.6608	150.3447	-3.9428353	-74.40048	2.7623746	3140.9097905158997
42	204.92113	10.185188	229.00325	178.3106	206.08554	11.22932	221.47871	182.82384	46.44186	47.2	167999	74.18811	36.78495	150.24608	-6.5709944	74.18807	36.78459	149.33067	-4.761185	-74.542984	2.7578979	3253.966714143753
43	204.80177	10.4395275	230.1083	176.91214	202.07892	8.299595	214.04216	188.69467	46.183907	46.3	171999	74.42358	36.81171	158.19987	-5.780695	74.42351	36.811924	159.33833	-4.1254997	-74.644684	2.7190933	3367.6204981803894
44	204.83734	12.422304	241.26164	178.24164	204.21603	12.329945	231.80156	182.17903	46.2907	46.8	175999	74.55155	36.82821	159.9997	-5.7399035	74.5514	36.828102	162.13174	-9.876893	-74.85018	2.6677523	3481.1263675689697
45	204.62044	10.934881	233.2707	179.28181	200.4052	9.434673	217.71758	184.63033	46.29885	46.3	179999	74.46692	36.85313	148.57423	-5.2405257	74.46698	36.853012	148.36093	-3.3743734	-74.85017	2.6694086	3594.7450201511383
46	201.47299	9.77469	221.90468	179.67804	204.01765	14.563321	227.55235	181.67093	45.712643	46.8	183999	74.47381	36.90441	157.92429	-4.4920382	74.47366	36.904762	151.28186	-2.1101694	-74.733894	2.6857862	3708.365877389908
47	203.7648	12.039464	241.45804	184.91441	198.79326	9.073556	220.44328	185.08649	46.183907	45.6	187999	74.44109	36.93274	150.10571	-7.042165	74.441	36.932594	152.49017	-7.1474285	-74.74937	2.5941842	3821.7433426380157
48	202.58894	12.309964	230.76988	181.28027	205.12344	12.992267	227.97539	179.81879	45.908047	46.8	191999	74.380394	36.87367	149.59904	-6.346796	74.380486	36.873367	148.65053	-6.124597	-74.66809	2.610357	3935.8849699497223
49	203.29707	11.88999	240.00482	175.31348	206.60002	11.800901	229.43927	189.27817	46.068966	47.5	195999	74.4567	36.942116	153.10008	-3.8219316	74.45654	36.942318	154.30762	-3.8917472	-74.7864	2.5001729	4049.8819587230682
50	203.7678	10.529085	240.10368	177.28476	195.46982	10.434789	219.63788	184.74713	46.05814	45.0	199999	74.51756	36.94542	155.01505	-4.0488834	74.517525	36.945427	152.87973	-3.6661918	-74.810295	2.5120893	4164.209932088852
51	204.20222	9.6205	237.60674	181.36353	205.05301	11.994168	233.39204	186.02715	46.13793	47.0	203999	74.523	37.006622	144.91794	-8.7137575	74.52304	37.00647	146.9578	-8.263723	-74.800674	2.4435015	4278.90834403038
52	201.07709	10.908311	226.54381	175.17763	202.18054	8.676148	217.83717	190.22559	45.590908	46.5	207999	74.62231	36.969257	150.75513	-7.790313	74.62209	36.969387	149.77185	-5.9140663	-74.99683	2.4040403	4393.36483502388
53	202.84343	9.925252	224.35281	177.14874	198.41899	11.276497	216.48796	176.02693	45.91954	45.8	211999	74.72858	36.973194	144.9596	-4.019763	74.728516	36.97304	147.60133	-6.581716	-75.05767	2.373081	4508.303553104401
54	204.65424	10.973357	244.8239	181.94266	200.20795	10.9750185	220.35648	186.79208	46.172413	45.7	215999	74.697174	37.02322	145.59888	-6.486677	74.697014	37.023563	148.35085	-5.9027524	-74.98769	2.4047344	4623.358984708786
55	205.13254	10.2457695	232.54561	178.99107	205.12068	13.05484	221.71968	177.48775	46.430233	46.8	219999	74.61666	36.993652	147.01414	-13.926895	74.61669	36.99332	144.33539	-3.624547	-74.90209	2.2438266	4737.976109981537
56	203.5958	11.2917595	234.42569	175.80461	199.99698	12.592446	221.12578	181.79378	46.139534	45.9	223999	74.66323	37.010708	147.64537	-3.021305	74.66328	37.01057	147.84709	-7.507344	-74.95745	2.2935781	4853.3626227378845
57	203.71783	10.250537	232.87083	185.03554	199.21657	9.425281	212.36589	182.13081	46.12644	45.8	227999	74.72141	37.054382	148.57558	-1.6531292	74.72134	37.0543	151.49504	-7.313941	-74.89663	2.2684946	4968.278827190399
58	202.58405	9.097493	222.59845	183.44608	204.57095	13.729718	221.27542	176.89383	45.96552	46.8	231999	74.66872	37.044254	146.05579	-8.63155	74.66869	37.044327	145.40329	-9.741252	-74.96392	2.24859	5083.526178359985
59	204.15063	10.662214	235.7361	176.8775	203.57243	9.393135	216.65569	189.44832	46.12644	46.9	235999	74.584045	37.06585	157.8241	-4.174946	74.584045	37.066113	158.63205	-3.1049476	-74.891495	2.1829932	5199.406076431274
60	203.7542	13.195965	231.92482	179.36269	199.70468	10.717447	220.33244	184.85593	46.022987	46.0	239999	74.77032	37.086468	156.01233	-5.6502485	74.769966	37.087055	153.43297	-2.6561248	-74.98536	2.1837094	5314.914854288101
61	204.48116	10.932095	246.6508	179.50449	201.59433	10.525361	216.40611	181.74263	46.26744	46.3	243999	74.829865	37.119617	149.8591	-6.380689	74.82981	37.119877	145.13106	-4.9809766	-75.15858	2.1237037	5430.868147134781
62	204.93216	11.239678	231.2545	182.05208	199.80075	9.979333	222.93933	186.03702	46.333332	45.9	247999	74.835945	37.125507	148.35022	-3.2605746	74.83595	37.12555	147.76532	-4.8985558	-75.04211	2.135607	5547.003629207611
63	204.01915	11.912964	230.70193	174.2343	203.27113	11.582576	222.39128	182.50934	46.186047	46.5	251999	75.03488	37.121193	145.64484	-10.479017	75.0348	37.121284	154.49915	-5.2874355	-75.372185	2.1965537	5663.340482473373
64	203.19008	10.623343	235.3593	181.6727	201.32777	8.309266	217.97023	190.23308	46.057472	46.2	255999	74.99078	37.148304	145.21498	-14.880796	74.9907	37.148174	151.16397	-18.261343	-75.193474	2.0930386	5780.0034556388855
65	203.13681	12.4314165	235.00694	174.08267	200.58952	8.867865	213.49225	187.89328	45.988506	46.2	259999	75.02469	37.18085	156.52885	-6.691771	75.02464	37.18101	153.45868	-7.9766126	-75.28659	2.16635	5896.479521512985
66	203.35841	10.315545	231.10042	179.84377	207.01779	9.510699	223.53215	188.38155	46.103447	47.3	263999	74.915054	37.215355	159.12311	-16.447498	74.914955	37.21543	167.0494	-4.854635	-75.27325	2.1981769	6013.118638753891
67	205.20676	12.168804	233.31595	175.3712	196.9585	7.735321	207.95093	183.79784	46.2907	45.3	267999	74.767044	37.143555	148.4584	-10.733358	74.766914	37.143684	142.38535	-3.1378183	-75.00491	2.0909834	6130.006900310516
68	203.6008	11.671487	232.70952	184.6665	203.16753	9.171864	215.30194	186.19487	46.057472	46.6	271999	74.93462	37.15249	167.45682	-5.0281777	74.93436	37.152702	168.73363	-5.91416	-75.214035	2.1364892	6246.920845270157
69	204.3641	12.131022	237.58922	176.32599	196.19542	9.726493	213.20825	176.98152	46.13793	45.0	275999	74.927086	37.17962	149.0192	-6.5888233	74.92706	37.17986	151.0317	-3.8266063	-75.19491	2.057505	6364.158383846283
70	203.55144	11.46196	234.96878	172.2414	206.14713	9.828765	218.64633	186.52957	46.103447	47.2	279999	74.97334	37.22627	149.69162	-5.1163588	74.97335	37.22627	151.98439	-3.475294	-75.17678	2.0731611	6481.168306827545
71	201.50876	9.725321	227.84857	179.86998	204.84354	9.375485	219.66739	186.10844	45.643677	47.1	283999	74.99409	37.159527	151.1994	-3.2745934	74.99378	37.159863	163.08241	-12.114119	-75.244736	1.9678533	6598.750967025757
72	202.19801	11.2642565	240.1829	181.48833	204.33878	19.424662	239.40034	180.32053	45.896553	46.7	287999	74.98119	37.187004	145.08159	-5.001277	74.98113	37.18689	145.82721	-4.4206314	-75.16328	2.0299547	6716.018828630447
73	203.26291	10.3610935	229.7682	180.54251	199.76653	9.534681	213.21077	185.92648	45.988506	46.0	291999	74.93407	37.227894	146.89392	-7.0703735	74.93403	37.22818	150.87527	-17.088985	-75.174126	2.0235734	6833.750539064407
74	205.09984	10.597407	231.13284	180.7661	203.92874	16.338486	228.99915	182.1153	46.37931	46.8	295999	75.07797	37.198288	145.38045	-5.8758397	75.0779	37.198414	144.08946	-12.2346325	-75.26409	2.0578306	6951.622916460037
