Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
84	109.11122	3.669741	112.89606	104.439095	1000.0	17.686085	2.5973792	35.394733	13.968268	340000	2.5838613e-08	0.23612997	-0.010600871	-0.099613905	-0.15771927	0.0028068803	0.06275	79.0	596.5444600582123
85	108.23361	2.9186523	113.103325	105.446175	1000.0	17.879417	2.750675	35.849274	13.760916	344000	-7.2717667e-09	0.18807775	-0.013665896	-0.06526385	-0.17320207	0.01153947	0.082	79.0	603.7309238910675
86	105.64584	3.760738	108.544556	99.207	1000.0	18.165262	2.6843421	35.871166	14.332169	348000	9.536744e-10	0.32308987	-0.014831276	-0.06464675	-0.190499	0.0059114895	0.079	79.0	610.6281185150146
87	111.6082	3.124412	114.81102	106.7628	1000.0	18.125898	2.8215535	36.00149	13.955172	352000	-4.2915342e-09	0.47916126	-0.0151493065	-0.3320127	-0.21383704	0.007183833	0.07325	79.0	617.4574434757233
88	109.59464	3.329016	114.29793	105.547554	1000.0	18.726974	2.7557757	36.21925	14.403362	356000	1.1205673e-08	0.19828683	-0.012734531	-0.06832126	-0.24129413	0.00581441	0.054	79.0	624.0567514896393
89	108.60284	3.5659826	112.274315	103.024765	1000.0	18.49205	2.9004505	36.366405	14.211031	360000	-2.9087067e-08	0.3319087	-0.015759002	-0.17601955	-0.2605992	0.01020798	0.10225	79.0	631.1336851119995
90	109.66264	3.78556	113.90857	103.60011	1000.0	19.11552	2.8644392	36.245872	14.4639225	364000	2.4676323e-08	0.17040566	-0.01435333	-0.032606453	-0.28437203	0.0057711806	0.0815	79.0	638.1065542697906
91	110.49455	4.8500757	115.94006	105.65503	1000.0	19.016335	2.7621858	36.51344	14.554181	368000	1.2397766e-08	0.19251753	-0.015186512	-0.062472627	-0.31128117	0.010293688	0.07025	79.0	645.678986787796
92	109.51631	3.5292885	112.5453	103.543846	1000.0	19.005943	2.6844597	36.57799	14.617166	372000	1.4305115e-09	0.08252678	-0.0123192305	-0.008937523	-0.3186589	0.007922699	0.06575	79.0	652.698061466217
93	114.77147	4.832193	120.78159	109.88227	1000.0	19.296394	2.8426378	36.570206	14.748873	376000	-4.887581e-09	0.20086227	-0.015767133	-0.075325936	-0.31458554	0.008007174	0.093	79.0	659.1392569541931
