Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
32	755.10516	451.39462	1238.6088	132.13777	945.5203	481.77597	1911.4249	148.34624	773.6	742.1	127999	82.01218	10.048904	129.5493	-31.544493	82.01197	10.045647	127.54605	-31.458109	-2.9602513	2.300263	56.317673	-13.776089	-82.642235	6.88612	7685.836505413055
33	380.35413	279.11053	997.1447	31.965359	382.76007	419.13043	1117.2668	4.2564487	515.5	341.3	131999	83.06249	10.78552	134.35773	-51.70188	83.06257	10.780703	134.18802	-61.780643	-2.9086175	2.3623483	47.95763	-15.53863	-83.68784	7.4130235	7945.122751235962
34	266.79898	345.78372	1218.3456	3.6805754	1592.1606	446.8998	2217.9197	879.4039	395.5	1000.0	135999	83.78918	11.205085	137.63177	-40.552425	83.78902	11.204998	140.36348	-38.850555	-2.886053	2.3707464	45.018257	-15.258113	-84.40914	8.086668	8183.283776521683
35	861.1111	578.7265	1659.0192	27.408504	1550.6565	536.17596	2317.8833	492.66376	642.3333	923.4	139999	84.75369	11.919386	136.92943	-41.468388	84.75386	11.919848	137.00642	-39.432705	-2.8696597	2.366144	40.78724	-14.816465	-85.36249	8.442107	8452.533492088318
36	410.88092	247.8956	734.0327	81.49376	1657.4232	555.58124	2350.384	967.7805	815.4	1000.0	143999	85.68069	12.532955	140.2469	-38.9226	85.68081	12.533761	144.33311	-57.81949	-2.8492017	2.399987	38.85034	-13.780763	-86.29094	8.4729805	8693.72115445137
37	657.5485	243.29694	952.6508	351.11295	1301.4703	516.30115	2383.4214	305.00787	697.8	912.5	147999	86.50365	13.360737	144.21356	-45.47959	86.5032	13.362319	145.14925	-45.96308	-2.8002546	2.4609852	43.613274	-14.74716	-87.126	8.673652	9438.50136423111
38	431.7275	147.78941	577.17224	204.38884	714.66785	444.28033	1797.5874	181.74802	1000.0	338.3	151999	87.42048	14.154914	149.58255	-64.3997	87.42044	14.154055	152.6071	-54.532394	-2.7829235	2.4963381	42.76859	-14.705538	-88.04211	8.661025	10532.245902061462
39	549.4758	593.7833	1653.6383	9.111057	1922.8256	541.6758	2815.7563	1273.5316	509.22223	952.9	155999	88.50039	15.23065	163.93568	-39.148792	88.50003	15.230412	162.13795	-42.83807	-2.7352598	2.5497804	42.508415	-13.6232605	-89.11775	9.428555	11722.78825879097
40	533.37134	594.71814	2132.8228	45.05473	1762.2662	539.6586	2586.547	1075.7775	428.33334	1000.0	159999	89.39685	16.122055	171.25832	-48.564545	89.39692	16.124557	164.59123	-53.872803	-2.7328343	2.5762444	56.32664	-15.280433	-89.99883	10.052252	12789.590628147125
41	539.2621	522.6127	1661.5901	50.92309	506.27997	359.1266	1117.157	84.441635	683.0	316.1	163999	90.1721	17.035892	172.11032	-53.162083	90.17192	17.032347	168.2521	-58.123466	-2.701352	2.591446	46.430042	-16.011215	-90.776085	10.036833	13957.427836894989
42	534.84515	491.58643	1763.5479	7.456194	496.9821	540.98303	1543.1016	21.362722	356.63635	361.8	167999	91.44754	18.429775	173.60002	-53.243946	91.44749	18.428513	171.13683	-48.694763	-2.643758	2.631925	48.11913	-14.668739	-92.04437	11.163164	15125.440370559692
43	744.4907	702.0988	2183.5	65.446175	923.9113	543.3608	1953.626	252.67078	468.25	658.3	171999	92.49863	19.657469	174.64505	-63.927113	92.49844	19.657312	173.69606	-57.84854	-2.591277	2.7056	53.290554	-14.804115	-93.08852	12.745399	16243.992718219757
44	458.08066	331.27853	1091.0309	122.37023	1581.8337	960.2214	2601.1494	237.72816	704.2	618.7	175999	93.42529	20.861126	179.52876	-42.79357	93.42511	20.863596	176.78114	-81.902534	-2.5481822	2.75775	53.578938	-15.860548	-94.02084	12.75854	17344.62033557892
45	1496.0037	924.25366	2448.7725	301.43378	1687.0547	1190.3123	3352.5022	90.658966	645.1429	514.9	179999	94.85674	22.316326	185.10739	-71.51298	94.85655	22.321384	182.21762	-40.54769	-2.4991236	2.7663548	37.11452	-14.117495	-95.44291	13.629677	18435.589797735214
46	1214.9569	605.78326	2241.7668	274.55704	1902.8666	910.095	3145.6624	712.294	708.0	856.1	183999	96.638	24.193922	188.75757	-56.789654	96.63818	24.19448	184.40652	-42.46506	-2.411829	2.8407092	43.161064	-14.425182	-97.22789	14.770845	19315.88881635666
47	373.74255	314.76575	1015.7573	26.642435	2559.0786	488.68698	2958.2222	1392.1816	431.0	1000.0	187999	97.92812	25.819159	192.63144	-57.780144	97.92821	25.820427	189.09128	-43.93925	-2.3807223	2.8840735	44.178444	-13.854887	-98.51178	15.166098	21758.07971572876
48	1173.9674	686.814	2380.911	302.4069	1569.6735	995.50323	3158.4443	105.19029	550.1429	677.4	191999	99.79202	27.82954	195.40836	-51.777504	99.79232	27.830212	194.35269	-46.7368	-2.2805727	2.9319334	37.20617	-15.313195	-100.37558	15.685963	21946.573113441467
49	805.8051	732.25446	2502.3538	107.615974	2750.1133	916.85394	3588.2227	829.49316	653.0	865.1	195999	101.00411	29.37434	199.07971	-49.321487	101.00397	29.378788	200.83241	-61.028206	-2.2532234	2.9567096	41.927437	-15.20127	-101.56931	17.32556	22142.215746879578
50	937.03766	967.117	2443.6824	48.942093	3055.7668	1073.426	4079.5427	1001.028	512.5714	910.2	199999	102.29963	30.840528	196.29356	-44.49332	102.30001	30.84129	198.68353	-50.048172	-2.213197	2.9910731	41.522247	-14.260509	-102.862206	17.47858	22351.51025748253
51	1074.3405	819.2443	2478.378	183.61894	1686.0427	1045.2089	3122.974	24.788166	718.5	699.3	203999	103.45479	32.062267	204.64606	-61.702072	103.45522	32.065796	204.6073	-61.179676	-2.2025645	2.981199	51.62115	-13.430981	-104.02669	18.774551	22836.078541755676
52	1439.361	1072.655	2542.2883	80.87906	1052.4155	727.37775	2337.1748	82.93313	731.3333	565.2	207999	104.80094	33.28538	202.83383	-68.95446	104.8012	33.28515	208.41467	-52.655193	-2.1873608	3.0159848	50.49759	-17.755322	-105.34778	18.080883	23866.690857887268
53	1511.2267	989.0705	2625.9673	458.2881	1673.8845	756.3283	3128.8955	644.1432	806.75	784.4	211999	106.617	34.846115	213.40407	-61.19853	106.61674	34.847824	210.72662	-44.653454	-2.069951	3.0924942	52.315952	-17.15213	-107.15859	19.738255	24892.107850790024
54	1261.1249	961.9775	2375.5864	20.849691	1742.7512	1073.4629	3465.7615	359.96152	769.4	761.7	215999	107.69435	35.98436	207.87798	-62.318665	107.6943	35.98641	210.65474	-71.88011	-2.0461535	3.1128411	35.88685	-15.364556	-108.218216	19.753216	25894.36161184311
55	1291.9568	518.3388	2288.9429	652.0672	2048.8174	1232.761	3749.5017	149.36319	790.0	768.4	219999	108.66975	37.07523	213.20592	-63.12306	108.66993	37.077393	214.91104	-102.99838	-2.0137475	3.135928	46.446472	-14.275739	-109.1964	20.752226	26926.336561203003
56	1019.604	829.71796	3114.9678	277.591	2417.4585	889.13367	3272.3945	876.0635	414.8	828.6	223999	109.93954	38.288437	213.22679	-88.07651	109.94014	38.28872	215.21107	-69.62654	-1.9846578	3.2000554	46.03206	-14.382588	-110.45138	22.19073	27969.983003377914
57	1856.2418	1306.256	3218.1418	185.35887	2314.8508	516.81024	2906.7979	1312.0017	778.0	1000.0	227999	111.36635	39.814026	218.07959	-66.29783	111.36673	39.81317	217.81902	-100.42144	-1.897848	3.2593641	55.812073	-13.625645	-111.88203	23.125364	29035.146580696106
58	963.61774	1181.0083	3084.031	59.775272	793.04755	346.82983	1440.1124	326.61038	409.66666	376.8	231999	113.26137	41.71111	224.94664	-47.497784	113.2613	41.713394	227.52188	-71.67535	-1.8159689	3.2820077	58.698143	-15.806671	-113.77728	24.191778	30051.710683107376
59	1214.8911	1158.3912	3146.1343	72.87414	3556.6882	338.25076	3741.563	2572.772	493.77777	1000.0	235999	115.04396	43.405434	232.78615	-76.716934	115.0442	43.40341	230.3381	-72.08595	-1.7470658	3.3601584	47.581566	-13.834991	-115.56127	26.461058	31125.76975417137
60	1981.1455	871.86694	2972.588	807.3379	3482.1348	621.054	3782.0374	1624.3241	887.5	946.8	239999	116.82186	45.089283	233.47098	-59.976887	116.82203	45.087345	232.46722	-86.27498	-1.6965494	3.3858082	65.64412	-14.766616	-117.316795	27.333256	32199.072589159012
61	1653.2029	910.9874	2887.7488	604.5578	1107.125	614.8051	1931.9941	208.53445	748.8	538.7	243999	118.14708	46.421726	233.43831	-66.46906	118.14655	46.419476	235.19878	-67.74463	-1.6438538	3.452333	56.612877	-14.120869	-118.64899	28.743973	33262.324543237686
62	1631.3483	1175.6259	3363.518	293.83673	3704.7336	751.9329	4215.244	1509.2963	526.5	1000.0	247999	120.19429	48.056564	236.81184	-81.35364	120.19439	48.05631	235.65129	-82.60542	-1.5401953	3.4801927	53.326397	-13.737404	-120.68356	30.408434	34289.540994644165
63	2984.9077	703.7694	3567.1973	1600.9021	1871.1777	1121.6754	3772.7722	130.79114	902.0	539.9	251999	122.27196	49.78521	237.06496	-111.79257	122.27252	49.787354	244.06296	-102.219345	-1.4793067	3.525168	46.26327	-14.456383	-122.766624	30.15982	35307.16798710823
64	1583.7793	871.1903	2637.5374	414.18454	3150.0454	1323.2596	4086.11	307.6483	673.4	908.4	255999	124.47831	51.653225	242.88306	-64.02124	124.47818	51.652416	244.16417	-66.782074	-1.4194838	3.594264	62.2984	-13.961557	-124.94402	31.04534	36427.79957962036
65	3116.4736	492.31732	3418.0864	2264.274	2151.7432	1528.1718	4238.4585	36.07073	1000.0	785.1	259999	126.60719	53.613003	248.20998	-55.406445	126.60736	53.60935	251.34499	-63.43256	-1.3427508	3.6362517	64.840576	-14.830594	-127.09674	31.972	37406.91113090515
66	2595.3545	868.68945	3316.2158	901.61523	3675.3652	425.77756	4031.4705	2477.2573	853.0	1000.0	263999	129.22968	55.905403	254.57492	-93.91106	129.22977	55.90123	256.50168	-97.88641	-1.262617	3.6649156	46.280823	-13.691241	-129.70653	33.244133	37883.493332624435
67	2031.8737	1215.2328	3440.4473	435.43	2288.003	1549.5488	4229.6772	202.39587	618.1429	831.0	267999	131.7546	57.735657	260.4096	-52.46251	131.7545	57.73731	255.33083	-86.249275	-1.2276554	3.6705976	74.36069	-13.890547	-132.20793	35.12429	38346.2088534832
68	1982.2434	887.07434	3142.095	614.61646	3640.8286	553.4582	4014.0103	2013.7216	716.6	1000.0	271999	133.90198	59.43768	262.82846	-45.383175	133.90239	59.43604	261.02054	-67.21351	-1.109403	3.7369342	56.93655	-13.989027	-134.36087	35.71467	38814.1806101799
69	3075.4424	840.37555	3551.9907	1397.2428	1706.8601	1343.5826	3903.257	263.66745	887.6	545.4	275999	136.20692	61.120373	265.86926	-63.165752	136.20757	61.11688	265.19452	-77.03519	-1.0974249	3.74436	44.689224	-14.106069	-136.67119	36.133713	39267.232704639435
70	2599.8809	1129.9222	3972.6514	1009.1727	3231.3428	1013.4142	4550.943	1237.4271	761.2	872.7	279999	138.36958	62.731304	264.12686	-88.97595	138.36954	62.732914	264.61508	-74.96476	-1.0038749	3.7866364	48.17948	-14.2952175	-138.81192	36.823574	39734.82182312012
71	1706.2865	1192.777	3723.5715	121.847694	3848.8958	364.90717	4199.3354	3163.713	604.1667	957.8	283999	140.33954	64.532074	270.65363	-108.09199	140.33893	64.53169	268.53174	-84.91587	-1.0157743	3.7989836	65.40398	-14.231016	-140.77704	39.143555	40238.67571115494
72	2885.8108	1456.4325	3924.5623	5.966172	3816.2976	1277.835	4590.9375	257.50534	803.4	890.7	287999	142.69995	66.22954	273.68814	-87.40965	142.70013	66.231224	275.53088	-83.88714	-0.8915273	3.8158517	58.573494	-13.521901	-143.13528	38.930183	40723.90947699547
73	2086.9055	1324.9772	4043.776	11.499294	2343.6323	1559.3898	4577.862	343.82608	601.1667	687.4	291999	145.3327	67.933	276.4352	-94.63452	145.333	67.93148	278.8165	-87.46264	-0.81319153	3.8203306	57.076912	-14.873474	-145.76659	39.73099	41177.570642232895
74	2706.8335	1108.1075	4085.5461	867.2407	3749.129	966.6829	4747.778	1891.2688	801.0	922.9	295999	147.72781	69.78489	282.81854	-79.20705	147.72842	69.7846	280.9743	-97.21276	-0.7311008	3.871559	44.00438	-14.730291	-148.15825	41.462975	41647.01162481308
75	3141.0657	1308.6543	4113.3486	381.91446	1996.7375	1378.0774	4421.6885	171.66269	800.0	550.8	299999	149.42825	71.27768	285.79846	-67.08084	149.4281	71.27623	285.22714	-100.5874	-0.72306436	3.8765547	53.14942	-14.79416	-149.84634	43.16834	42121.01420545578
76	3019.6003	749.6704	3996.4321	2180.2664	4658.5264	95.56958	4815.621	4492.1133	897.0	1000.0	303999	151.98088	73.20632	289.6959	-133.66118	151.98116	73.20485	287.34494	-91.20611	-0.61271334	3.9476151	66.23506	-14.220585	-152.40517	44.078945	42626.24432373047
77	3572.2278	488.49774	4031.823	2693.035	2276.732	1400.3383	4810.7607	329.79343	913.8	787.4	307999	154.43777	75.06283	290.16846	-104.35024	154.43848	75.061905	287.92343	-140.17699	-0.5771937	3.9440987	48.26263	-15.407106	-154.85728	45.650032	43124.33715391159
78	2229.8708	1260.7222	3950.1716	732.69135	2855.7134	1237.1769	4814.164	1372.3442	929.5	795.8	311999	155.94458	76.40523	294.24255	-144.62659	155.94429	76.4033	290.6954	-129.25995	-0.5241172	3.9942446	52.982536	-14.915839	-156.35425	46.571716	43660.25514245033
79	2574.8591	1366.6866	4057.949	102.52439	3891.3196	649.0199	4182.2876	1948.3927	641.0	947.7	315999	158.5236	78.131805	296.49075	-137.56308	158.52399	78.13105	298.5274	-116.30877	-0.47687653	4.039303	48.56223	-15.391283	-158.93387	48.43353	44201.262499809265
80	2490.4954	1178.961	4333.759	1305.8975	4193.6914	1147.3463	4879.1294	1203.0132	917.75	925.0	319999	160.5519	79.885796	303.00903	-111.24989	160.55222	79.88281	303.33762	-120.42287	-0.40148512	4.031717	44.56308	-14.8622055	-160.95297	48.916485	44743.9889690876
81	2358.6545	1555.8853	4282.26	517.30334	3514.4648	1170.818	4604.871	1494.6282	828.6	869.3	323999	162.29005	81.39682	304.07172	-153.67654	162.29028	81.39291	308.63068	-91.718056	-0.3867697	4.026784	41.68981	-15.687216	-162.68082	51.39506	45289.57899045944
82	3292.9888	1390.5431	4490.988	1028.6724	3057.4253	1651.9774	5072.9785	149.79474	1000.0	670.4	327999	164.60617	83.03246	306.4003	-187.26134	164.60632	83.03199	304.728	-108.82343	-0.3333021	4.0606623	53.49465	-16.819092	-165.01239	51.521587	45817.688613414764
83	3421.1655	1372.8877	4433.8984	822.54596	4572.3955	951.3513	5145.4507	1778.1119	795.0	1000.0	331999	166.92487	84.846245	313.48206	-131.34253	166.925	84.84393	315.91577	-202.18839	-0.30809167	4.08086	70.62248	-14.310259	-167.31349	53.35833	46370.633785009384
84	2537.8894	1722.1226	4531.4717	310.75696	4061.651	881.6644	4852.0146	2363.988	739.5	974.7	335999	169.11513	86.29455	314.22205	-90.861755	169.11516	86.29175	316.7475	-64.90574	-0.29072174	4.100959	50.513134	-13.148721	-169.49318	54.854908	46912.06589102745
85	2079.6306	1531.1396	4425.3423	334.7388	3726.984	1496.7615	5236.4067	1147.2308	635.0	813.8	339999	170.87506	87.70279	313.29834	-126.09293	170.87582	87.70039	315.6133	-104.23799	-0.20522441	4.1569867	59.695	-13.210265	-171.27019	55.555492	47444.149265527725
86	2896.7488	1205.497	4503.5093	1005.5215	4642.3022	160.6215	4863.762	4241.911	681.5	1000.0	343999	173.28224	89.35075	318.96613	-93.17204	173.2825	89.35266	318.7497	-109.58053	-0.13195814	4.204218	56.88102	-14.74639	-173.67491	55.634056	47985.955134391785
87	2426.9453	1460.1163	4274.8716	124.499725	4570.237	130.68408	4759.8057	4313.369	596.7143	1000.0	347999	175.76514	90.88668	322.48877	-90.78197	175.76596	90.88319	320.21515	-125.29442	-0.1212419	4.1902933	62.577984	-14.409023	-176.13643	59.277344	48532.53371715546
88	2905.1743	1797.1672	4430.2764	355.94928	3975.2563	1024.7548	4902.0117	1741.9357	670.4	862.2	351999	177.7342	91.94731	320.71664	-114.77062	177.73373	91.94929	321.0445	-92.64107	-0.06391878	4.2399015	66.32081	-13.723963	-178.1007	59.465347	49083.13299226761
89	2306.0112	1300.9946	4562.7	744.7312	4147.9	1588.421	5269.35	161.27162	637.8333	831.8	355999	179.70056	93.22187	330.73376	-94.582405	179.70024	93.22003	331.70563	-155.08488	-0.014550041	4.218055	54.198524	-17.332024	-180.06613	61.053593	49622.185468912125
90	2680.7048	1652.1384	4336.9067	95.31041	4055.393	1184.858	5084.734	1566.7474	810.4	851.7	359999	181.43626	94.59253	328.29883	-112.59435	181.4371	94.592804	332.77386	-108.59599	-0.03795639	4.226946	58.79184	-15.893163	-181.80487	61.30669	50168.020223379135
91	3066.2258	1490.8121	4563.4316	894.5369	4642.3813	438.68066	5131.575	4027.1533	798.6667	946.5	363999	183.63937	95.71752	330.79822	-127.53949	183.63976	95.7122	329.6405	-95.27524	0.09805675	4.259697	54.73118	-14.348099	-184.01556	63.689632	50710.98114275932
92	3118.8171	1762.4694	4610.5444	196.0404	2038.6215	1400.1827	4953.763	105.65695	710.6	436.0	367999	185.6873	97.08227	336.3925	-101.3418	185.68668	97.083664	340.672	-153.03888	0.08144257	4.2671328	49.852642	-16.17126	-186.05092	61.433125	51220.5635573864
